"תחנה","תאריך ושעה (שעון עולמי)","טמפרטורה (C°)"
"אבני איתן","17/04/2023 00:00","13.6"
"בית ציידה","17/04/2023 00:00","15.7"
"צמח","17/04/2023 00:00","16.5"
"מרום גולן פיכמן","17/04/2023 00:00","13.5"
"יבניאל","17/04/2023 00:00","17.4"
"תבור כדורי","17/04/2023 00:00","15.7"
"עפולה ניר העמק","17/04/2023 00:00","14.4"
"קרני שומרון","17/04/2023 00:00","16.1"
"אריאל","17/04/2023 00:00","17.4"
"ירושלים, גבעת רם","17/04/2023 00:00","16.3"
"ירושלים, מרכז","17/04/2023 00:00","18.5"
"הר חרשה","17/04/2023 00:00","18.9"
"נתיב הל""ה","17/04/2023 00:00","15.5"
"שני","17/04/2023 00:00","18.6"
"ערד","17/04/2023 00:00","14.5"
"גילגל","17/04/2023 00:00","20.5"
"נווה זוהר אוניברסיטה","17/04/2023 00:00","24.4"
"חצבה","17/04/2023 00:00","22.9"
"יוטבתה","17/04/2023 00:00","22.3"
"חיפה, בתי הזיקוק","17/04/2023 00:00","15.7"
"חיפה, אוניברסיטה","17/04/2023 00:00","19.5"
"חיפה, טכניון","17/04/2023 00:00","17.6"
"עין כרמל","17/04/2023 00:00","16.4"
"זיכרון יעקב","17/04/2023 00:00","16.9"
"חדרה, נמל","17/04/2023 00:00","18.1"
"בית דגן","17/04/2023 00:00","17.6"
"חוות הבשור","17/04/2023 00:00","16.5"
"באר שבע","17/04/2023 00:00","-"
"באר שבע אוניברסיטה קרינה","17/04/2023 00:00","-"
"צפת הר-כנען","17/04/2023 00:00","17.5"
"אילת","17/04/2023 00:00","23.9"
"סדום","17/04/2023 00:00","26.7"
"עין השופט","17/04/2023 00:00","15.5"
"אילון","17/04/2023 00:00","17.8"
"קבוצת יבנה","17/04/2023 00:00","16.5"
"בית ג'מל","17/04/2023 00:00","15.8"
"ראש צורים","17/04/2023 00:00","16.5"
"אפק","17/04/2023 00:00","15.1"
"דורות","17/04/2023 00:00","16.3"
"נגבה","17/04/2023 00:00","16.5"
"בית דגן קרינה","17/04/2023 00:00",""
"איתמר","17/04/2023 00:00","19.9"
"שדה בוקר","17/04/2023 00:00","15"
"דיר חנא","17/04/2023 00:00","18.5"
"ראש הנקרה","17/04/2023 00:00","16"
"עין החורש","17/04/2023 00:00","15.9"
"צומת הנגב","17/04/2023 00:00","15.8"
"לב כנרת","17/04/2023 00:00","20.9"
"חפץ חיים","17/04/2023 00:00","16.5"
"עמיעד","17/04/2023 00:00","19.1"
"אשדוד, נמל","17/04/2023 00:00","18.6"
"תל-אביב, חוף","17/04/2023 00:00","18.5"
"נווה יער","17/04/2023 00:00","15.3"
"צובה","17/04/2023 00:00","15.2"
"כפר בלום","17/04/2023 00:00","14.5"
"אשחר","17/04/2023 00:00","20.3"
"חוות עדן","17/04/2023 00:00","18"
"פארן","17/04/2023 00:00","19.8"
"אשקלון, נמל","17/04/2023 00:00","17.9"
"מצוקי דרגות","17/04/2023 00:00","23"
"עין גדי","17/04/2023 00:00","25.2"
"מעלה אדומים","17/04/2023 00:00","20.7"
"מעלה גילבוע","17/04/2023 00:00","17.8"
"גמלא","17/04/2023 00:00","18.4"
"בית הערבה","17/04/2023 00:00","22.6"
"נאות סמדר","17/04/2023 00:00","17.3"
"כפר נחום","17/04/2023 00:00","18.5"
"גת","17/04/2023 00:00","16.8"
"כפר גלעדי","17/04/2023 00:00","19.7"
"נחשון","17/04/2023 00:00","15.5"
"גלעד","17/04/2023 00:00","16.2"
"חרשים","17/04/2023 00:00","18.3"
"עבדת","17/04/2023 00:00","13.4"
"ניצן","17/04/2023 00:00","14.9"
"עזוז","17/04/2023 00:00","15.4"
"שבי ציון","17/04/2023 00:00","11.4"
"נבטים","17/04/2023 00:00","15.6"
"להב","17/04/2023 00:00","15.2"
"איילת השחר","17/04/2023 00:00","17.1"
"מסדה","17/04/2023 00:00","19.2"
"שדה אליהו","17/04/2023 00:00","18.6"
"מצפה רמון","17/04/2023 00:00","16.8"
"תל יוסף","17/04/2023 00:00","17.6"
"אשלים","17/04/2023 00:00","15.8"
"באר שבע אוניברסיטה","17/04/2023 00:00","15.9"
"דפנה","17/04/2023 00:00","15.3"
