,stn_num,,prs_stn,prs_sea_lvl,prs_lvl_hgt,tmp_air_dry,tmp_air_wet,tmp_dew_pnt,hmd_rlt,wind_dir,wind_spd,cld_ttl_cvr,cld_low_cvr,cld_low_hgt,cld_low_type,cld_med_type,cld_high_type,weather_crr,weather_past_1,vis_code,,,,hour,,
5291320,6770,,917.7,,1465,18.3,14.1,10.8,62,260,3.5,0,0,9,0,0,0,,,60,,,,00:00,,
5291321,6770,,917.7,,1462,17,16.2,15.7,92,270,5,2,2,3,6,0,0,10,0,30,,,,03:00,,
5291322,6770,,918.2,,1472,20,17.4,15.8,77,270,2.5,0,0,9,0,0,0,10,0,59,,,,06:00,,
5291323,6770,,918,,1484,25.7,17.6,12.1,42,270,3,0,0,9,0,0,0,,,65,,,,09:00,,
5291324,6770,,917.7,,1493,26.8,20.2,16.5,53,280,3,1,1,5,1,0,0,,,65,,,,12:00,,
5291325,6770,,916.8,,1470,25.1,18.5,14.4,51,280,5,0,0,9,0,0,0,,,65,,,,15:00,,
5291326,6770,,917.7,,1470,21,18.4,16.9,77,280,5,0,0,9,0,0,0,,,62,,,,18:00,,
5291327,6770,,917.8,,1473,21.9,12.8,3.9,31,260,3.5,0,0,9,0,0,0,,,65,,,,21:00,,
5291328,6770,,,,,20.6,12.8,5.5,37,260,3,0,0,9,0,0,0,,,65,,,,00:00,,
5291329,6770,,917,,1456,17.4,16.5,15.9,91,270,3.5,0,0,9,0,0,0,,,60,,,,03:00,,
5291330,6770,,918,,1472,20.6,18.1,16.6,78,270,3,0,0,9,0,0,0,,,65,,,,06:00,,
5291331,6770,,918.2,,1485,25.5,19.1,15.3,53,280,4,0,0,9,0,0,0,,,65,,,,09:00,,
5291332,6770,,918.2,,1488,27.2,20.4,16.6,52,270,5,2,2,5,1,0,0,,,60,,,,12:00,,
5291333,6770,,917.8,,1479,24.6,19.8,17.1,63,280,7,2,2,5,1,0,0,,,60,,,,15:00,,
5291334,6770,,918.8,,1483,21.9,19.6,18.4,80,280,4.5,3,3,4,6,0,0,10,0,57,,,,18:00,,
5291335,6770,,919.3,,1484,20.7,19.4,18.7,88,270,4,5,5,3,6,0,0,10,1,30,,,,21:00,,
5291336,6770,,918.9,,1479,19.8,18.5,17.8,88,270,4.5,6,6,3,6,0,0,10,1,50,,,,00:00,,
5291337,6770,,918.9,,1478,19.6,18.4,17.7,89,270,2,7,7,3,8,10,10,10,0,56,,,,03:00,,
5291338,6770,,919.7,,1491,21.5,18.9,17.4,78,270,3,7,7,5,8,10,10,10,2,58,,,,06:00,,
5291339,6770,,919.5,,1498,26,20.2,17,58,290,3,0,0,9,0,0,0,,,63,,,,09:00,,
5291340,6770,,919.1,,1499,27.6,20.5,16.6,51,310,5,0,0,9,0,0,0,,,63,,,,12:00,,
5291341,6770,,918.9,,1492,25.2,20.1,17.3,61,290,5.5,1,1,5,1,0,0,,,63,,,,15:00,,
5291342,6770,,920,,1493,21.6,19.4,18.2,81,300,5,0,0,9,0,0,0,,,62,,,,18:00,,
5291343,6770,,920.7,,1495,19.7,18.4,17.7,88,270,4.5,2,2,4,6,0,0,,,60,,,,21:00,,
5291344,6770,,920.1,,1488,19.2,18,17.3,89,230,3,2,2,4,6,0,0,,,60,,,,00:00,,
5291345,6770,,920.1,,1488,18.8,17.5,16.7,88,290,4,3,3,3,6,0,0,10,0,57,,,,03:00,,
5291346,6770,,920,,1496,23.3,18.7,16,63,350,2.5,0,0,9,0,0,0,,,62,,,,06:00,,
5291347,6770,,919.7,,1507,29.3,20.3,15.1,42,0,0,0,0,9,0,0,0,,,63,,,,09:00,,
5291348,6770,,918.8,,1501,30.2,22,17.8,47,320,4,0,0,9,0,0,0,,,62,,,,12:00,,
5291349,6770,,918,,1486,27,22.2,19.9,65,300,5,0,0,9,0,0,0,5,0,60,,,,15:00,,
5291350,6770,,917.6,,1475,23.5,19.9,17.9,71,310,5.5,0,0,9,0,0,0,,,65,,,,18:00,,
5291351,6770,,918,,1475,21.8,18.7,16.9,74,280,6,0,0,9,0,0,0,,,60,,,,21:00,,
5291352,6770,,918,,1474,21.4,16.1,12.4,56,300,5,0,0,9,0,0,0,,,60,,,,00:00,,
5291353,6770,,917.9,,1468,19.3,18.5,18.1,92,300,4,0,0,9,0,0,0,,,60,,,,03:00,,
5291354,6770,,918.6,,1483,23,20,18.4,75,320,4,1,1,4,8,0,0,10,0,58,,,,06:00,,
5291355,6770,,918.4,,1490,26.6,21.3,18.6,61,290,3,0,0,9,0,0,0,5,0,60,,,,09:00,,
5291356,6770,,917.3,,1482,28.5,22.7,19.9,60,290,4.5,1,1,5,1,0,0,5,0,58,,,,12:00,,
5291357,6770,,917,,1473,24.5,21.7,20.3,77,280,5.5,2,2,4,2,0,0,,,60,,,,15:00,,
5291358,6770,,918.1,,1476,22.1,20.5,19.7,86,280,5.5,2,2,4,5,0,0,10,0,50,,,,18:00,,
5291359,6770,,918.1,,1474,21,19.8,19.2,89,290,2,2,2,3,6,0,0,10,0,30,,,,21:00,,
5291360,6770,,918,,1470,20.2,19.3,18.8,92,280,3,5,5,3,6,0,0,10,0,30,,,,00:00,,
5291361,6770,,918,,1471,20.1,19,18.4,90,280,3,3,3,4,6,0,0,10,1,20,,,,03:00,,
5291362,6770,,918,,1475,21.7,19.2,17.8,79,280,3,7,7,4,8,10,10,10,2,56,,,,06:00,,
5291363,6770,,918.1,,1485,26.4,20,16.4,54,280,3.5,0,0,9,0,0,0,5,2,58,,,,09:00,,
5291364,6770,,917.6,,1484,28.2,20.3,15.8,47,290,5,0,0,9,0,0,0,,,63,,,,12:00,,
5291365,6770,,916.4,,1469,25.6,20.3,17.4,61,280,6.5,0,0,9,0,0,0,,,65,,,,15:00,,
5291366,6770,,918.2,,1477,22,19.6,18.3,80,270,3,2,2,5,5,0,0,,,60,,,,18:00,,
5291367,6770,,918,,1476,22.6,15.3,9.7,44,260,4,0,0,9,0,0,0,,,60,,,,21:00,,
5291368,6770,,917.4,,1470,22.3,14.9,9,43,270,4,0,0,9,0,0,0,,,60,,,,00:00,,
5291369,6770,,917.8,,1467,19.1,18.1,17.5,91,280,3.5,3,3,3,6,0,0,10,0,20,,,,03:00,,
5291370,6770,,918.2,,1479,21.8,19.7,18.5,81,260,2.5,1,1,4,8,0,0,10,0,58,,,,06:00,,
5291371,6770,,919.3,,1501,28,20.5,16.3,49,320,3,0,0,9,0,0,0,,,63,,,,09:00,,
5291372,6770,,918.3,,1496,30.2,21.2,16.3,43,290,4,0,0,9,0,0,0,,,62,,,,12:00,,
5291373,6770,,918,,1486,27.2,22.2,19.8,64,300,6,0,0,9,0,0,0,5,0,60,,,,15:00,,
5291374,6770,,919.2,,1488,22.7,21.2,20.5,87,280,5.5,2,2,3,6,0,0,10,0,50,,,,18:00,,
5291375,6770,,919.5,,1490,22.3,19.4,17.8,76,270,5,0,0,9,0,0,0,10,0,56,,,,21:00,,
5291376,6770,,919.5,,1485,20.1,19.1,18.6,91,270,5.5,4,4,3,6,0,0,10,0,30,,,,00:00,,
5291377,6770,,919.4,,1483,19.7,18.4,17.7,88,280,5,2,2,3,6,0,0,10,1,30,,,,03:00,,
5291378,6770,,920.2,,1496,22.3,19.6,18.1,77,260,2,2,2,4,1,0,0,10,0,56,,,,06:00,,
5291379,6770,,920.6,,1512,27.4,20.6,16.9,53,300,4,0,0,9,0,0,0,,,60,,,,09:00,,
5291380,6770,,920.2,,1511,28.5,21.6,18,53,310,5,0,0,9,0,0,0,,,60,,,,12:00,,
5291381,6770,,920.2,,1505,26.2,20.2,16.9,56,300,5.5,0,0,9,0,0,0,,,60,,,,15:00,,
5291382,6770,,921.1,,1505,22.3,20.4,19.4,84,290,4,2,2,3,6,0,0,10,0,57,,,,18:00,,
5291383,6770,,921.5,,1505,20.9,19.5,18.7,87,270,4.5,3,3,3,6,0,0,10,0,50,,,,21:00,,
5291384,6770,,921,,1498,20,18.8,18.1,89,280,6.5,3,3,3,6,0,0,10,1,50,,,,00:00,,
5291385,6770,,921.8,,1505,19.7,18.4,17.7,88,260,3,6,6,3,6,0,0,10,1,50,,,,03:00,,
5291386,6770,,922.4,,1516,22.2,19,17.2,73,260,2,0,0,9,0,0,0,10,1,57,,,,06:00,,
5291387,6770,,922.6,,1530,27.1,18.5,12.9,42,300,3.5,0,0,9,0,0,0,,,62,,,,09:00,,
5291388,6770,,921.8,,1525,28,21,17.2,52,300,5.5,2,2,5,1,0,0,,,62,,,,12:00,,
5291389,6770,,920.8,,1510,25.3,19.7,16.5,58,290,6,0,0,9,0,0,0,,,62,,,,15:00,,
5291390,6770,,920.4,,1497,21.5,19.9,19.1,86,300,4,3,3,4,6,0,0,,,60,,,,18:00,,
5291391,6770,,920.6,,1495,19.9,18.6,17.9,88,280,5,3,3,3,6,0,0,,,60,,,,21:00,,
5291392,6770,,920.1,,1498,19.2,18.1,17.5,90,290,4,5,5,3,6,0,0,10,1,58,,,,00:00,,
5291393,6770,,919.7,,1486,19.1,17.6,16.7,86,300,2,4,4,3,6,0,0,10,1,56,,,,03:00,,
5291394,6770,,919.9,,1490,21.3,18.2,16.4,73,270,2,1,1,4,8,0,0,10,1,60,,,,06:00,,
5291395,6770,,919.2,,1498,27.4,19.8,15.4,48,0,0,0,0,9,0,0,0,,,65,,,,09:00,,
5291396,6770,,918.6,,1496,29.2,19.7,13.9,39,310,3,0,0,9,0,0,0,,,65,,,,12:00,,
5291397,6770,,918.2,,1486,26.2,20.6,17.6,59,310,5,0,0,9,0,0,0,5,0,60,,,,15:00,,
5291398,6770,,918.5,,1480,22,19.7,18.5,80,300,5,0,0,9,0,0,0,,,60,,,,18:00,,
5291399,6770,,918.6,,1477,20.3,19.2,18.6,90,300,3,0,0,9,0,0,0,,,60,,,,21:00,,
5291400,6770,,918.6,,1479,21.2,16.2,12.7,58,290,2,0,0,9,0,0,0,,,60,,,,00:00,,
5291401,6770,,918.1,,1474,20.9,14.2,8.7,45,300,3,0,0,9,0,0,0,,,60,,,,03:00,,
5291402,6770,,918.4,,1486,25.1,15.1,6.6,30,340,2,0,0,9,0,0,0,,,65,,,,06:00,,
5291403,6770,,918.3,,1494,29,18.4,11.2,33,320,2,0,0,9,0,0,0,,,65,,,,09:00,,
5291404,6770,,917,,1483,29.6,20.7,15.7,42,300,4.5,0,0,9,0,0,0,5,0,60,,,,12:00,,
5291405,6770,,916.8,,1475,25.5,20.1,17.1,59,290,6.5,0,0,9,0,0,0,5,0,60,,,,15:00,,
5291406,6770,,,,,21.5,19.3,18.1,80,270,2.5,1,1,5,2,0,0,,,60,,,,18:00,,
5291407,6770,,918.6,,1477,20.4,19,18.2,87,270,6,3,3,4,6,0,0,,,60,,,,21:00,,
5291408,6770,,918.6,,1475,19.7,18.7,18.1,91,270,4,3,3,4,6,0,0,,,60,,,,00:00,,
5291409,6770,,918.6,,1475,19.6,18.4,17.7,89,280,4,4,4,3,6,0,0,10,0,57,,,,03:00,,
5291410,6770,,919.7,,1491,22.2,19.2,17.5,75,280,4,1,1,4,8,0,0,10,0,58,,,,06:00,,
