,stn_num,time_obs,prs_stn,prs_sea_lvl,prs_lvl_hgt,tmp_air_dry,tmp_air_wet,tmp_dew_pnt,hmd_rlt,wind_dir,wind_spd,cld_ttl_cvr,cld_low_cvr,cld_low_hgt,cld_low_type,cld_med_type,cld_high_type,weather_crr,weather_past_1,vis_code,year,month,day,hour,monthyear,date
5289554,6770,2000-01-01 00:00,925,,1528,16.8,9.2,-0.2,31,0,0,0,0,9,0,0,0,,,65,2000,1,1,00:00,01/2000,01/01/2000
5289555,6770,2000-01-01 03:00,924.5,,1521,16,8.9,0.1,34,0,0,0,0,9,0,0,0,,,65,2000,1,1,03:00,01/2000,01/01/2000
5289556,6770,2000-01-01 06:00,925.1,,1530,17.5,9.5,-0.3,30,0,0,0,0,9,0,0,0,,,65,2000,1,1,06:00,01/2000,01/01/2000
5289557,6770,2000-01-01 09:00,926,,1549,22.2,11.9,0.4,23,140,1.5,0,0,9,0,0,0,,,65,2000,1,1,09:00,01/2000,01/01/2000
5289558,6770,2000-01-01 12:00,924.4,,1537,23,11.8,-1.3,20,120,2,0,0,9,0,0,0,,,65,2000,1,1,12:00,01/2000,01/01/2000
5289559,6770,2000-01-01 15:00,925,,1530,18,12.8,8.3,53,,,4,2,9,0,5,5,,,60,2000,1,1,15:00,01/2000,01/01/2000
5289560,6770,2000-01-01 18:00,925.6,,1534,17.2,11,4.7,43,0,0,0,0,9,0,0,0,,,60,2000,1,1,18:00,01/2000,01/01/2000
5289561,6770,2000-01-01 21:00,925.3,,1529,16.5,10.2,3.4,41,90,1,0,0,9,0,0,0,,,60,2000,1,1,21:00,01/2000,01/01/2000
5289562,6770,2000-01-02 00:00,924.4,,1519,15.2,10.2,5,51,100,1,0,0,9,0,0,0,,,60,2000,1,2,00:00,01/2000,02/01/2000
5289563,6770,2000-01-02 03:00,924.1,,1515,15,8.8,1.4,40,170,2,0,0,9,0,0,0,,,60,2000,1,2,03:00,01/2000,02/01/2000
5289564,6770,2000-01-02 06:00,924.2,,1518,16,9,0.4,35,0,0,7,1,9,0,8,8,,,70,2000,1,2,06:00,01/2000,02/01/2000
5289565,6770,2000-01-02 09:00,924.2,,1528,20.4,11.1,0.5,26,110,2,7,0,9,0,0,9,,,68,2000,1,2,09:00,01/2000,02/01/2000
5289566,6770,2000-01-02 12:00,921.9,,1509,21,11,-0.8,23,100,2,7,1,9,0,5,8,,,65,2000,1,2,12:00,01/2000,02/01/2000
5289567,6770,2000-01-02 15:00,921.3,,1497,17.8,12.2,7.1,49,0,0,8,7,9,0,3,6,,,62,2000,1,2,15:00,01/2000,02/01/2000
5289568,6770,2000-01-02 18:00,922,,1500,16.7,9.7,1.6,36,0,0,8,4,9,0,3,8,,,62,2000,1,2,18:00,01/2000,02/01/2000
5289569,6770,2000-01-02 21:00,921.5,,1494,15.9,9.8,3.1,42,0,0,4,4,9,0,7,0,,,62,2000,1,2,21:00,01/2000,02/01/2000
5289570,6770,2000-01-03 00:00,919.9,,1476,14.6,8.7,1.7,42,0,0,5,5,9,0,7,0,,,60,2000,1,3,00:00,01/2000,03/01/2000
5289571,6770,2000-01-03 03:00,917.6,,1456,15.1,8.7,1,38,220,2,5,2,9,0,3,2,,,60,2000,1,3,03:00,01/2000,03/01/2000
5289572,6770,2000-01-03 06:00,919,,1461,12.2,11.2,10.3,88,270,5,5,4,3,6,3,0,40,4,15,2000,1,3,06:00,01/2000,03/01/2000
5289573,6770,2000-01-03 09:00,918.5,,1469,16.8,11.3,6,49,230,5,5,5,9,0,5,9,5,4,56,2000,1,3,09:00,01/2000,03/01/2000
5289574,6770,2000-01-03 12:00,916.9,,1451,15.6,12.6,10.1,70,260,6,7,7,3,8,10,10,6,4,40,2000,1,3,12:00,01/2000,03/01/2000
5289575,6770,2000-01-03 15:00,917.1,,1449,13.8,12.2,10.9,83,250,4.5,8,5,3,8,6,6,10,2,40,2000,1,3,15:00,01/2000,03/01/2000
5289576,6770,2000-01-03 18:00,918.4,,1457,12.3,11.1,10.1,86,230,4,6,6,3,8,0,0,10,2,57,2000,1,3,18:00,01/2000,03/01/2000
5289577,6770,2000-01-03 21:00,918.4,,1454,11.3,10.3,9.4,88,250,6.5,7,7,3,8,10,10,10,2,56,2000,1,3,21:00,01/2000,03/01/2000
