stn_num,heb_name,eng_name,E,N,lon,lat,H
241,כפר גלעדי,KEFAR GILADI,253490,793950,35.570,33.240,365
348,דפנה ,DAFNA,259600,792550,35.635,33.228,135
202,כפר בלום,KEFAR BLUM,257590,786320,35.613,33.172,75
10,מרום גולן פיכמן,MEROM GOLAN PICMAN,275450,781650,35.8045,33.129,945
106,ראש הנקרה,ROSH HANIQRA,210430,776160,35.108,33.081,10
73,אילון,ELON,220660,774470,35.217,33.065,300
353,איילת השחר,AYYELET HASHAHAR,253940,769980,35.574,33.024,170
343,שבי ציון,SHAVE ZIYYON,208980,765390,35.092,32.984,5
62,צפת הר כנען,ZEFAT HAR KENAAN,247740,765030,35.507,32.980,936
269,חרשים,HARASHIM,231070,762330,35.329,32.956,830
123,עמיעד,AMMIAD,248360,757830,35.514,32.915,215
227,גמלא,GAMLA,270380,756840,35.749,32.905,405
205,אשחר,ESHHAR,228530,754390,35.302,32.884,370
233,כפר נחום,KEFAR NAHUM,254520,754360,35.579,32.884,-200
6,בית ציידא,BET ZAYDA,261180,753990,35.650,32.880,-200
99,דיר חנא,DEIR HANNA,235330,751930,35.374,32.862,280
78,אפק,AFEQ,210840,750200,35.112,32.847,10
26,חיפה נמל,HAIFA PORT,200090,748190,34.998,32.828,10
115,לב כנרת,LEV KINERET,257000,747500,35.605,32.821,-213~
2,אבני איתן,AVNE ETAN,271680,747090,35.762,32.817,375
41,"חיפה בז""ן",HAIFA REFINERIES,205450,745420,35.0548,32.803,5
43,חיפה טכניון,HAIFA TECHNION,202390,742120,35.022,32.774,245
42,חיפה אוניברסיטה,HAIFA UNIVERSITY,202240,740730,35.021,32.761,475
186,נווה יער,NEWE YAAR,217010,734820,35.178,32.708,115
13,תבור  כדורי,TAVOR KADOORIE,238440,734540,35.407,32.705,145
8,צמח,ZEMAH,255030,734270,35.584,32.702,-200
11,יבנאל,YAVNEEL,248110,733730,35.510,32.698,0
355,מסדה,MASSADA,256610,732150,35.601,32.683,-200
44,עין כרמל,EN KARMEL,196480,731830,34.959,32.681,25
264,מרחביה,MERHAVYA,229120,723160,35.308,32.603,60
67,עין השופט,EN HASHOFET,209310,723170,35.096,32.603,265
16,עפולה ניר העמק,AFULA NIR HAEMEQ,226260,722410,35.277,32.596,60
45,זכרון יעקב,ZIKHRON YAAQOV,195990,719810,34.955,32.572,175
263,גלעד ,GALED,207060,718020,35.073,32.556,180
380,תל יוסף,TEL YOSEF,237080,716830,35.395,32.546,-65
224,מעלה גלבוע,MAALE GILBOA,239230,709670,35.415,32.481,495
46,חדרה נמל,HADERA PORT,189090,708830,34.882,32.473,5
206,חוות עדן,EDEN FARM,246190,708240,35.489,32.468,-120
366,שדה אליהו,SEDE ELIYYAHU,248250,705030,35.511,32.439,-185
107,עין החורש,EN HAHORESH,194330,699330,34.938,32.388,15
20,קרני שומרון,QARNE SHOMERON,209220,675740,35.096,32.175,330
90,איתמר,ITAMAR,233320,674050,35.351,32.1598,820
275,הכפר הירוק,HAKFAR HAYAROK,184350,670790,34.8324,32.130,65
270,שערי תקוה,SHAARE TIQWA,202570,670270,35.0254,32.126,195
21,אריאל,ARIEL,220110,668020,35.2114,32.106,685
178,תל אביב חוף,TEL AVIV COAST,177380,662840,34.7588,32.058,10
54,בית דגן,BET DAGAN,182550,657190,34.8138,32.007,31
30,גלגל,GILGAL,242740,656040,35.4509,31.997,-255
24,הר חרשה,HAR HARASHA,214290,650210,35.1499,31.945,770
124,אשדוד נמל,ASHDOD PORT,165800,638080,34.6377,31.834,5
259,נחשון,NAHSHON,196460,637940,34.9616,31.834,180
74,קבוצת יבנה,QEVUZAT YAVNE,174000,636080,34.7244,31.817,50
228,בית הערבה,BET HAARAVA,247540,634760,35.501,31.805,-330
121,חפץ חיים,HAFEZ HAYYIM,181630,633200,34.805,31.791,80
188,צובה,ZOVA,212000,632780,35.1258,31.788,710
23,ירושלים מרכז,JERUSALEM CENTRE,221080,631980,35.2217,31.781,810
218,מעלה אדומים,MAALE ADUMMIM,228130,631250,35.2961,31.774,490
22,ירושלים גבעת רם,JERUSALEM GIVAT RAM,218770,630850,35.1973,31.770,770
274,ניצן,NIZZAN,165470,626720,34.6348,31.732,30
75,בית ג'ימל,BEIT JIMAL,197830,625830,34.9762,31.725,355
25,"נתיב הל""ה",NETIV HALAMED HE,197640,621940,34.9744,31.690,275
77,ראש צורים,ROSH ZURIM,211770,619110,35.1233,31.664,950
82,נגבה,NEGBA,169690,618560,34.6798,31.659,95
208,אשקלון נמל,ASHQELON PORT,154680,616550,34.5215,31.639,5
236,גת,GAT,180270,615390,34.7913,31.630,140
210,מצוקי דרגות,METZOKE DRAGOT,237230,610660,35.3916,31.588,20
79,דורות,DOROT,166600,601390,34.648,31.504,115
211,עין גדי,EN GEDI,236830,592030,35.3871,31.420,-415
350,להב,LAHAV,187910,587750,34.8729,31.381,460
28,שני,SHANI,206300,585000,35.0662,31.357,700
58,"בשור, חווה",BESOR FARM,141830,575830,34.3894,31.272,110
59,באר שבע,BEER SHEVA,180880,573390,34.7995,31.252,279
29,ערד,ARAD,217650,573140,35.1855,31.250,564
349,נבטים,NEVATIM,192600,568200,34.9227,31.205,350
112,צומת הנגב,ZOMET HANEGEV,185730,553360,34.8513,31.071,360
65,סדום,SEDOM,237320,548850,35.3919,31.031,-388
98,שדה בוקר ,SEDE BOQER,180300,531140,34.795,30.870,475
338,עזוז,EZUZ,149320,522510,34.4715,30.791,335
271,עבדת,AVDAT,177980,521980,34.7712,30.788,555
33,חצבה,HAZEVA,222760,520910,35.2389,30.779,-135
379,מצפה רמון,MIZPE RAMON,181100,502260,34.8046,30.610,845
207,פארן,PARAN,214030,475090,35.1479,30.366,100
232,נאות סמדר,NEOT SMADAR,201990,439900,35.0233,30.048,400
36,יטבתה,YOTVATA,207160,421850,35.0771,29.885,70
64,אילת,ELAT,195000,385010,34.952,29.553,22
