PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1007,35,17,15.9,93,11.41,180,2,289.6,321.7,291.6
1000,88,17.6,16.3,92,11.79,180,3,290.8,324.1,292.8
971,340,16,15.9,99,11.83,121,6,291.6,325.2,293.7
954,491,16.8,10.8,68,8.59,85,8,293.9,318.8,295.4
943,590,20.6,10.6,53,8.58,62,9,298.7,324.1,300.3
937,645,21,10,49,8.29,49,10,299.7,324.3,301.2
933,682,20.9,9.3,47,7.92,40,10,300,323.6,301.4
925,757,20.8,7.8,43,7.22,50,11,300.6,322.3,301.9
915,851,21.6,3.6,31,5.44,59,11,302.3,319,303.3
911,889,21.6,3.6,31,5.47,63,11,302.7,319.5,303.7
850,1484,16.6,3.6,42,5.86,120,9,303.5,321.5,304.6
842,1564,15.9,3.2,43,5.75,115,10,303.6,321.2,304.6
796,2036,11.5,0.7,48,5.1,125,13,303.8,319.6,304.7
779,2218,9.8,-0.2,50,4.86,144,12,303.9,318.9,304.8
761,2412,9.1,-13.1,19,1.84,165,10,305.2,311.2,305.5
747,2565,8.6,-23.4,8,0.78,170,10,306.2,308.9,306.4
710,2982,5.3,-22.8,11,0.87,185,10,307.1,310.1,307.3
700,3098,4.4,-22.6,12,0.89,200,11,307.3,310.4,307.5
670,3448,1.6,-25.1,12,0.75,220,15,308.1,310.7,308.2
656,3616,0.3,-26.3,12,0.68,210,13,308.4,310.8,308.6
597,4369,-5.7,-31.7,11,0.45,243,13,309.9,311.6,310
576,4645,-8,-29.2,16,0.6,255,13,310.5,312.6,310.6
520,5432,-14.4,-21.9,53,1.28,255,18,311.9,316.3,312.2
514,5521,-15.1,-21.1,60,1.39,263,19,312.1,316.9,312.4
505,5655,-15.6,-28,34,0.76,275,20,313.1,315.8,313.2
500,5730,-15.9,-31.9,24,0.53,275,20,313.6,315.5,313.7
493,5836,-16.7,-36.7,16,0.34,270,22,313.9,315.1,313.9
480,6034,-17.9,-41,11,0.22,260,26,314.8,315.7,314.9
453,6463,-20.5,-50.4,5,0.08,295,18,316.8,317.1,316.8
441,6663,-21.7,-54.7,3,0.05,295,19,317.7,317.9,317.7
400,7370,-28.1,-53.1,7,0.07,295,22,318.4,318.7,318.4
332,8679,-39,-54.4,18,0.07,300,36,320.9,321.2,320.9
329,8743,-39.5,-54.5,19,0.07,,,321,321.3,321
321,8912,-40.7,-57.7,14,0.05,,,321.6,321.8,321.6
300,9370,-44.1,-60.1,15,0.04,,,323.1,323.3,323.1
250,10570,-52.7,-65.7,19,0.02,,,327.6,327.7,327.6
229,11131,-56.3,-68.3,21,0.02,,,330.4,330.5,330.4
215,11528,-58.9,-68.9,26,0.02,,,332.4,332.5,332.4
200,11980,-60.1,-72.1,19,0.01,,,337.4,337.5,337.4
168,13060,-63.9,-78.9,11,0,,,348.3,348.4,348.3
150,13760,-60.9,-84.9,3,0,,,365,365,365
124,14936,-64.1,-86.1,4,0,,,379.6,379.6,379.6
100,16260,-62.7,-86.7,3,0,,,406.3,406.3,406.3
84.1,17332,-60.9,-87.9,2,0,,,430.6,430.6,430.6
80.6,17598,-57.9,-86.9,1,0,,,442,442,442
70,18480,-60.9,-87.9,2,0,,,453.8,453.8,453.8
63.4,19090,-64.3,-89.3,2,0,,,459.3,459.3,459.3
59.1,19525,-58.7,-87.7,1,0,,,481.2,481.2,481.2
50,20570,-60.5,-88.5,1,0,,,500.5,500.5,500.5
44.4,21304,-63.5,-89.5,2,0,,,510.4,510.5,510.5
41.7,21694,-57.9,-88.9,1,0,,,533.6,533.6,533.6
39.1,22098,-59.5,-88.5,1,0,,,539.4,539.5,539.4
37.2,22412,-57.3,-88.3,1,0,,,552.8,552.8,552.8
